iter	Passed	Remaining
0	162	48698
1	182	27166
2	200	19883
3	219	16241
4	238	14049
5	257	12639
6	272	11407
7	291	10633
8	310	10039
9	330	9571
10	348	9165
11	368	8840
12	388	8574
13	407	8326
14	427	8127
15	447	7937
16	466	7771
17	485	7605
18	505	7478
19	526	7364
20	546	7257
21	565	7149
22	585	7048
23	603	6944
24	622	6850
25	642	6767
26	662	6695
27	681	6618
28	700	6545
29	718	6468
30	736	6393
31	754	6319
32	774	6265
33	792	6199
34	810	6135
35	828	6073
36	846	6015
37	864	5960
38	882	5905
39	900	5851
40	919	5806
41	937	5758
42	958	5729
43	976	5681
44	995	5641
45	1013	5596
46	1032	5556
47	1050	5516
48	1069	5478
49	1088	5442
50	1107	5409
51	1126	5370
52	1144	5332
53	1162	5295
54	1180	5257
55	1198	5221
56	1216	5187
57	1235	5154
58	1253	5119
59	1271	5084
60	1289	5052
61	1307	5017
62	1325	4985
63	1342	4952
64	1360	4918
65	1378	4887
66	1396	4857
67	1416	4831
68	1436	4809
69	1456	4785
70	1477	4764
71	1497	4743
72	1517	4718
73	1537	4694
74	1555	4667
75	1575	4644
76	1595	4622
77	1614	4595
78	1634	4572
79	1654	4550
80	1673	4525
81	1693	4503
82	1713	4479
83	1734	4460
84	1754	4438
85	1775	4419
86	1798	4402
87	1820	4386
88	1844	4373
89	1866	4355
90	1889	4338
91	1910	4318
92	1930	4296
93	1952	4278
94	1974	4260
95	1992	4234
96	2010	4207
97	2028	4180
98	2045	4153
99	2063	4127
100	2081	4101
101	2099	4074
102	2117	4049
103	2135	4023
104	2165	4021
105	2183	3995
106	2201	3970
107	2219	3945
108	2238	3922
109	2256	3896
110	2274	3872
111	2292	3847
112	2310	3823
113	2328	3799
114	2346	3774
115	2364	3751
116	2383	3727
117	2400	3702
118	2418	3678
119	2436	3654
120	2453	3629
121	2471	3606
122	2490	3584
123	2508	3560
124	2526	3537
125	2544	3513
126	2562	3490
127	2579	3466
128	2598	3445
129	2617	3423
130	2636	3400
131	2653	3377
132	2672	3355
133	2690	3332
134	2708	3309
135	2727	3289
136	2747	3268
137	2766	3247
138	2785	3226
139	2803	3204
140	2821	3181
141	2839	3159
142	2858	3138
143	2877	3117
144	2896	3096
145	2914	3074
146	2932	3051
147	2950	3029
148	2968	3008
149	2986	2986
150	3004	2965
151	3023	2943
152	3041	2922
153	3059	2900
154	3077	2879
155	3095	2857
156	3115	2837
157	3134	2816
158	3151	2795
159	3171	2775
160	3190	2754
161	3208	2732
162	3226	2711
163	3244	2690
164	3262	2669
165	3280	2648
166	3297	2626
167	3316	2605
168	3334	2584
169	3352	2563
170	3371	2543
171	3390	2522
172	3408	2502
173	3427	2481
174	3446	2461
175	3465	2441
176	3484	2421
177	3503	2400
178	3521	2380
179	3539	2359
180	3557	2338
181	3574	2317
182	3595	2298
183	3612	2277
184	3630	2256
185	3648	2236
186	3667	2215
187	3684	2195
188	3702	2174
189	3719	2153
190	3737	2132
191	3754	2112
192	3772	2091
193	3789	2070
194	3807	2050
195	3825	2029
196	3843	2009
197	3861	1989
198	3879	1968
199	3896	1948
200	3917	1929
201	3935	1909
202	3953	1889
203	3970	1868
204	3988	1848
205	4007	1828
206	4025	1808
207	4043	1788
208	4061	1768
209	4079	1748
210	4098	1728
211	4116	1708
212	4134	1688
213	4152	1668
214	4170	1648
215	4187	1628
216	4205	1608
217	4223	1588
218	4241	1568
219	4258	1548
220	4276	1528
221	4294	1508
222	4313	1489
223	4331	1469
224	4349	1449
225	4367	1430
226	4385	1410
227	4403	1390
228	4421	1370
229	4439	1351
230	4456	1331
231	4474	1311
232	4492	1291
233	4509	1272
234	4527	1252
235	4546	1232
236	4564	1213
237	4581	1193
238	4601	1174
239	4619	1154
240	4637	1135
241	4654	1115
242	4673	1096
243	4691	1076
244	4709	1057
245	4728	1037
246	4746	1018
247	4763	998
248	4781	979
249	4799	959
250	4817	940
251	4834	920
252	4852	901
253	4870	882
254	4888	862
255	4905	843
256	4925	824
257	4944	804
258	4963	785
259	4981	766
260	4999	747
261	5018	727
262	5036	708
263	5054	689
264	5072	669
265	5090	650
266	5108	631
267	5126	612
268	5145	592
269	5163	573
270	5181	554
271	5199	535
272	5217	516
273	5235	496
274	5253	477
275	5271	458
276	5289	439
277	5306	419
278	5324	400
279	5342	381
280	5360	362
281	5378	343
282	5396	324
283	5416	305
284	5434	286
285	5452	266
286	5471	247
287	5488	228
288	5510	209
289	5527	190
290	5545	171
291	5564	152
292	5582	133
293	5600	114
294	5617	95
295	5635	76
296	5653	57
297	5671	38
298	5689	19
299	5706	0
